x,y
1,226.1200000
2,226.7000000
3,226.3400000
4,225.7100000
5,225.6300000
6,225.3700000
7,224.3000000
8,225.7000000
9,226.0000000
10,226.0900000
11,225.8700000
12,225.9800000
13,226.3400000
14,226.3200000
15,226.5600000
16,226.6000000
17,226.9600000
18,227.7000000
19,227.7900000
20,228.0900000
21,228.2100000
22,226.9900000
23,226.5000000
24,226.9500000
25,227.3700000
26,227.1700000
27,228.0000000
28,227.8400000
29,227.3500000
30,228.6700000
31,228.4800000
32,228.4600000
33,228.4400000
34,228.2500000
35,227.4800000
36,228.0000000
37,228.5900000
38,227.8500000
39,228.3500000
40,228.2100000
41,228.2100000
42,228.4300000
43,227.7200000
44,228.0800000
45,228.5400000
46,229.7500000
47,230.9000000
48,232.8600000
49,232.6700000
50,232.5800000
